117046	2

117047	1

117048	2

117049	2

117050	0

117051	0

117052	1

117053	2

117054	2

117055	3

117056	2

117057	1

117058	2

117059	2

117060	2

117061	1

117062	1

117063	3

117064	2

117065	2

117066	2

117067	2

117068	3

117069	4

117070	4

117071	4

117072	2

117073	2

117074	3

117075	3

117076	3

117077	3

117078	2

117079	2

117080	2

117081	1

117082	4

117083	4

117084	3

117085	4

117086	3

117087	3

117088	2

117089	3

117090	4

117091	3

117092	3

117093	2

117094	3

117095	3

117096	3

117097	1

117098	2

117099	2

117100	2

117101	2

117102	1

117103	3

117104	3

117105	2

117106	2

117107	3

117108	2

117109	2

117110	2

117111	2

117112	2

117113	2

117114	2

117115	2

117116	2

117117	2

117118	2

117119	2

117120	2

117121	2

117122	3

117123	1

117124	3

117125	3

117126	2

117127	2

117128	2

117129	4

117130	3

117131	3

117132	3

117133	3

117134	2

117135	2

117136	4

117137	3

117138	4

117139	3

117140	3

117141	3

117142	3

117143	3

117144	3

117145	2

117146	2

117147	2

117148	2

117149	2

117150	2

117151	2

117152	2

117153	3

117154	2

117155	3

117156	3

117157	2

117158	2

117159	2

117160	4

117161	3

117162	3

117163	2

117164	3

117165	2

117166	2

117167	3

117168	3

117169	3

117170	4

117171	3

117172	3

117173	2

117174	1

117175	1

117176	1

117177	1

117178	2

117179	2

117180	2

117181	2

117182	3

117183	2

117184	2

117185	1

117186	1

117187	1

117188	2

117189	2

117190	2

117191	1

117192	3

117193	2

117194	1

117195	2

117196	2

117197	4

117198	3

117199	4

117200	3

117201	3

117202	2

117203	2

117204	2

117205	2

117206	2

117207	2

117208	2

117209	1

117210	1

117211	1

117212	1

117213	2

117214	2

117215	2

117216	1

117217	1

117218	2

117219	2

117220	2

117221	2

117222	4

117223	4

117224	2

117225	0

117226	0

117227	1

117228	1

117229	1

117230	1

117231	0

117232	1

117233	1

117234	1

117235	2

117236	1

117237	2

117238	1

117239	2

117240	2

117241	2

117242	2

117243	2

117244	2

117245	2

117246	2

117247	2

117248	1

117249	1

117250	2

117251	2

117252	0

117253	0

117254	0

117255	1

117256	1

117257	1

117258	2

117259	3

117260	4

117261	2

117262	4

117263	4

117264	3

117265	3

117266	2

117267	3

117268	4

117269	3

117270	3

117271	2

117272	3

117273	4

117274	3

117275	3

117276	3

117277	3

117278	3

117279	3

117280	2

117281	3

117282	3

117283	2

117284	2

117285	3

117286	3

117287	3

117288	3

117289	4

117290	3

117291	2

117292	3

117293	2

117294	2

117295	2

117296	2

117297	2

117298	2

117299	2

117300	3

117301	2

117302	2

117303	4

117304	3

117305	4

117306	2

117307	2

117308	3

117309	3

117310	2

117311	2

117312	3

117313	3

117314	3

117315	2

117316	3

117317	3

117318	4

117319	3

117320	2

117321	2

117322	3

117323	3

117324	3

117325	3

117326	3

117327	2

117328	3

117329	3

117330	3

117331	2

117332	2

117333	2

117334	2

117335	2

117336	2

117337	2

117338	2

117339	2

117340	2

117341	2

117342	3

117343	3

117344	2

117345	2

117346	3

117347	3

117348	2

117349	3

117350	2

117351	3

117352	2

117353	3

117354	2

117355	3

117356	2

117357	2

117358	2

117359	2

117360	3

117361	2

117362	2

117363	2

117364	2

117365	2

117366	3

117367	1

117368	1

117369	1

117370	3

117371	2

117372	2

117373	3

117374	2

117375	2

117376	1

117377	2

117378	0

117379	2

117380	2

117381	0

117382	0

117383	0

117384	0

117385	0

117386	0

117387	3

117388	0

117389	0

117390	0

117391	2

117392	3

117393	2

117394	4

117395	2

117396	2

117397	2

117398	4

117399	4

117400	2

117401	3

117402	2

117403	2

117404	2

117405	2

117406	2

117407	2
